大項目	中項目	小項目	Prompt
キャラクター	アイドルマスター	菊地真	{{{{kikuchi makoto}}}}, [[[[idolmaster]]]], short hair, black hair, ahoge, forehead, black eyes, tareme, small breasts, smile, black gloves, smile,
キャラクター	アイドルマスター	高槻やよい	{{{{takatsuki yayoi}}}}, [[[[idolmaster]]]], loli, twintails, dark orange hair, aqua eyes, locks, tareme, smile, :d, hoodie, skirt, yellow legwear, bag
キャラクター	アイドルマスター	三浦あずさ（ショートカット）	{{{{miura azusa}}}}, [[idolmaster]], blue short hair, forehead, red eyes, tareme, ahoge,wrist cuffs, skirt, navel, smile, idol dress,
キャラクター	アイドルマスター	三浦あずさ（ロングヘア）	{{{{{dark blue hair}}}}},[idolmaster cinderella girls], official art, ,solo,mature,30 years old,{{long hair,hairline,hair_pulled_back,Jinx hair,ahoge}},{{{diagonal long_bangs,}}},{{{{tareme}}}},red_eyes,big breasts,
キャラクター	アイドルマスター	四条貴音	{{shijou takane}}, medium wavy silver hair, red eyes,
キャラクター	アイドルマスター	秋月律子	akizuki ritsuko, [[idolmaster]], [[antenna hair]], glasses, brown hair, ponytail, brown eyes, {{{{tareme}}}}, sidelocks, bangs, solo, cowboy shot,
キャラクター	アイドルマスター	水瀬伊織	minase iori, [[[[idolmaster]]]], loli, brown hair, long hair, hairband, hairbow, orange eyes, {{{{tareme}}}}, parted bangs, forehead, small breasts
キャラクター	アイドルマスター	星井美希	{{hoshii miki}}, medium wavy yellow hair, green eyes, ahoge,
キャラクター	アイドルマスター	天海春香	{{{{amami haruka}}}}, [[[[idolmaster]]]], short hair, brown hair, green eyes, tareme, medium breasts, blunt bangs,
キャラクター	アイドルマスター	萩原雪歩	{{{{hagiwara yukiho}}}}, [[idolmaster]], light brown hair, brown eyes, {{{{tareme}}}}, medium breasts, swept bangs, short hair, smile, solo, cowboy shot
キャラクター	アイドルマスター シャイニーカラーズ	西城樹里	{{{masterpiece}}}, {{{best quality}}}, {{ultra-detailed}}, {{{{{idolmaster shiny colors}}}}}, [hair between eyes], {{pixie cut}}, {{short hair}}, {blonde hair}, {anime colored}, {{{{tsurime}}}}, eyeliner, pink eyes, {teenage}
キャラクター	アイドルマスター シャイニーカラーズ	浅倉透	{{masterpiece}}, {{best quality}}, {{{ultra-detailed}}}, {{best illustration}}, {{disheveled hair}}, {{beautiful detailed girl}}, {{{{{{asakura toru}}}}}}, {{idolmaster shiny colors}}, small breasts, {{{gradation hair}}}, detailed {{{{{short back}}}} [[[[[[[[[[[[[[[[dull purple]]]]]]]]]]]]]]]] hair, {{{{middle-parted bangs}}}}, {{{{{dull blue cowlick}}}}} ,[[[[ahoge]]]], {{{{{wide-eyed}}}}}, [[round]] {{{{{half-closed drooping}}}}} {{dull light blue}} eyes, [[[[[[[[[[light smile]]]]]]]]]], earrings, [black necktie], white shirt,
キャラクター	アイドルマスター シャイニーカラーズ	黛冬優子	{{{{mayuzumi fuyuko}}}}, [[[[idolmaster shiny colors]]]], black hair, straight long hair {{{{long wavy sidelocks}}}}, mini two side up, yellow eyes, blunt bangs, {{{{tareme}}}}, medium breasts, black legwear, pink shirt, long sleeves, neck ribbon, zettai ryouiki, frills,
キャラクター	アイドルマスター シャイニーカラーズ	田中摩美々	{{{{tanaka mamimi}}}}, [[[[idolmaster shiny colors]]]], diagonal bangs, messy pig tails, messy hair, deep purple hair, purple eyes, tsurime, expressionless, purple nail polish, medium breasts,
キャラクター	アイドルマスター シャイニーカラーズ	白瀬咲耶	{{{{shirase sakuya}}}}, [[[[idolmaster shiny colors]]]], black hair, high ponytail, medium breasts, long hair, bangs, yellow eyes, tsurime, school uniform,
キャラクター	アイドルマスター シャイニーカラーズ	八宮めぐる	hachimiya meguru,idolmaster shiny colors,{{{{slender}}}},{big eyes},blonde hair,{{{hair down}}},{low twintails},[ahoge],ringed eyes,small head,small face,[[[long hair]]],[parted bangs],blue eyes,large breasts,school uniform, hairclip,black polo shirt, blue shirt plaid skirt, pleated skirt, miniskirt
キャラクター	アイドルマスター シャイニーカラーズ	樋口円香	{{{{higuchi madoka}}}}, [[[[idolmaster shiny colors]]]], brown hair, short hair, [[[[wavy]]]] hair, bangs, purple eyes, {{tareme}}, [[hairclip]], expressionless, medium breasts
キャラクター	アイドルマスターシンデレラガールズ	アナスタシア	{{{{masterpiece}}}},idol master, cinderella girls, anastasia (idolmaster) ,wolf cut,{{{whitesmokehair}}}, short hair,frills, white shirt, {{black corset}}, {sleeveless}, [lolita fashion], pleated skirt, {{{{{blue skirt}}}, mini skirt, black thighhighs,garter belt,
キャラクター	アイドルマスターシンデレラガールズ	エミリー	{{emily stewart}}, [[idolmaster million live!]], yellow hair, long hair, high twintails, black hairband, purple eyes, {{{{tareme}}}}, parted bangs, smile, solo, cowboy shot, [[official art]]
キャラクター	アイドルマスターシンデレラガールズ	ナターリア	{{{{{natalia (idolmaster)}}}}}, {{{dark skin}}}, medium hair, {{dark green hair}}, solo focus, hair between eyes, {shiny skin}, 14 years old, purple eyes, {{medium breasts}}, cleavage, well-detailed breasts, anime colored, {{{{sideburns}}}}, {{sidelocks}},{{{:D}}}, {{{open eyes}}}, [[[eyelashes]]], {{{active}}}
キャラクター	アイドルマスターシンデレラガールズ	伊吹翼	{{{styles of idolmaster million live!,2010s}}},[loli],{ibuki tsubasa},short hair,ahoge,breasts,blonde hair,,solo,exquisite,shirt
キャラクター	アイドルマスターシンデレラガールズ	一ノ瀬志希	{{{{ichinose shiki}}}}, [[[[idolmaster cinderella girls]]]], deep brown hair, wavy long messy hair, blue eyes, medium breasts, ahoge, smile,
キャラクター	アイドルマスターシンデレラガールズ	塩見周子	{{{{shiomi syuko}}}}, short hair, light silver yellow hair, black eyes, medium breasts, hair between eyes,
キャラクター	アイドルマスターシンデレラガールズ	橘ありす	{{tachibana arisu}}, idolmaster Cinderella Girls, , solo, 12 years old, little girl, light blue one piece, blue big hair bow, long hair, full body
キャラクター	アイドルマスターシンデレラガールズ	宮本フレデリカ	{{{{frederica miyamoto}}}}, [[idolmaster cinderella girls]], short yellow hair, dark green eyes, cirlcular eyes, tareme, medium breasts
キャラクター	アイドルマスターシンデレラガールズ	向井拓海	{{{{light black hair}}}},idolmaster cinderella girls,official art, {{{{{mukai_takumi}}}}},solo,mature,30 years old,[[[exposed muscle]]],spirited,{{middle hair,hairline,hair_pulled_back,Jinx hair,diagonal long bangs}},{{sharp eyes}},yellow-green_eyes,big eyes,{{slender v-shaped_ slender eyebrows}},big breasts,teeth, cleavage,hand_on_hip ,type of Japanese school uniform for boys often stand-up collar with long jacket and loose trousers,
キャラクター	アイドルマスターシンデレラガールズ	高垣楓	{{{{takagaki kaede}}}}, idolmaster cinderella girls, green hair, tsurime, blue eyes, swept bangs, medium breasts, cowboy shot,
キャラクター	アイドルマスターシンデレラガールズ	佐々木千枝	{{{{sasaki chie}}}}, [[[[idolmaster cinderella girls]]]], loli, child, black hair, bunny hairclip, flower hairclip, short medium hair, gray eyes, tareme, swept bangs
キャラクター	アイドルマスターシンデレラガールズ	佐久間まゆ	idolmaster cinderella girls, {{{sakuma mayu}}},, blue eyes, dark brown hair, medium hair, medium breasts, hairband, school uniform, green jacket, red ribbon tie,
キャラクター	アイドルマスターシンデレラガールズ	佐城雪美	{{{{sajo yukimi}}}}, [[[[idolmaster cinderella girls]]]], loli, child, long hair, red eyes, blue hair, blunt bangs, {{{{horizontal eyelid}}}}, {{{{jitome}}}}, expressionless
キャラクター	アイドルマスターシンデレラガールズ	佐藤心	Shin satou,solo,light smile,white skin,shiny skin,beautiful detailed eyes,green eyes,tareme,golden brown hair, pink blonde hair,hime cut, {{{twintail}}},loose fluffy bob cut,medium breasts,tracksuit,pink ribbon,duck mouth,grin, (((masterpiece))),(((best quality))), ((ultra-detailed)), (illustration),((an extremely delicate and beautiful))
キャラクター	アイドルマスターシンデレラガールズ	鷺沢文香	{sagisawa fumika}, idolmaster cinderella girls, stage costumes, smile,shiny,hair_flower,jewelry,layered_skirt,necklace,tiara,puffy sleeves,
キャラクター	アイドルマスターシンデレラガールズ	三村かな子	idolmaster cinderella girls,{{{mimura kanako}}}, brown eyes, brown hair, short hair, hair ornament,plump,smile,game cg, cowboy shot
キャラクター	アイドルマスターシンデレラガールズ	周防桃子	{{suou momoko}, [[idolmaster million live!]], loli, infant, blue eyes, brown hair, {{tareme}}, short wavy hair, white flower hairclips, swept blunt bangs, smile, solo, cowboy shot, [[official art]]
キャラクター	アイドルマスターシンデレラガールズ	渋谷凛	{{shibuya rin}},green eyes,necklace, cardigan,necktie,
キャラクター	アイドルマスターシンデレラガールズ	春日未来	{{{styles of idolmaster million live!,2010s}}},{{amami haruka,fujimaru ritsuka (female),tareme}},side ponytail,brown hair,brown eyes,teenage,small breasts,,solo,exquisite,white shirt,fusion of pink sweater and pink school uniform,hair bobbles,light smile,[[open mouth]]
キャラクター	アイドルマスターシンデレラガールズ	緒方智絵里	{{{{ogata chieri}}}}, [[[[idolmaster cinderella girls]]]], loli, mini twintails with locks, brown hair, brown eyes, bracelet, jewelry, hair scrunchie, collarbone, blunt bangs, green frilled dress
キャラクター	アイドルマスターシンデレラガールズ	諸星きらり	{{{{moroboshi kirari}}}}, [[[[idolmaster cinderella girls]]]], star hair ornaments, necklace, brown eyes, orange medium [[[[wavy]]]] hair, :3, large breasts
キャラクター	アイドルマスターシンデレラガールズ	城ヶ崎美嘉（ツインテール）	{{{{jougasaki mika}}}}, {{{{bright vivid messy pink hair}}}}, medium pig tail, yellow eyes, gyaru, tsurime, hair between eyes, medium breasts,
キャラクター	アイドルマスターシンデレラガールズ	城ヶ崎美嘉（ポニーテール）	{{{{jougasaki mika}}}}, [[[[idolmaster cinderella girls]]]], ponytail, clothes around waist, sweater around waist, pink hair, bow, grin, hairbow, school uniform, yellow eyes, tsurime, medium breasts, colo, cowboy shot,
キャラクター	アイドルマスターシンデレラガールズ	城ケ崎利嘉	{{jougasaki rika}}, [[[[idolmaster cinderella girls]]]], loli, yellow hair, long hair, wavy hair, yellow eyes, mini two side up, small breasts, hair ribbon, school uniform, plaid orange miniskirt, bracelet, short sleeves, sweater vest, solo, cowboy shot,
キャラクター	アイドルマスターシンデレラガールズ	新田美波	{{{{nitta minami}}}},brown hair,brown eyes,long hair,parted bangs,
キャラクター	アイドルマスターシンデレラガールズ	新田美波	idol master, cinderella girls, nitta minami straight hair,brown hair,medium breasts,frills, white shirt, {{black corset}}, {sleeveless}, [lolita fashion], pleated skirt, {{{{{blue skirt}}}, mini skirt, black thighhighs,garter belt,
キャラクター	アイドルマスターシンデレラガールズ	神崎蘭子	{{kanzaki ranko}}, medium hair, gray hair, twin drills, red eyes, tareme, medium breasts, black ribbons, lolita fashion
キャラクター	アイドルマスターシンデレラガールズ	神谷奈緒	kamiya nao, thick eyebrows, {{{{{{{{{{short bangs}}}}}}}}}}, blunt bangs, long hair, brown hair, wavy hair, {{{hair bun}}}, floating hair, red eyes, {{{dark-violet dress}}}, frilled dress, layered skirt, dark-violet gloves, shiny gloves, stage, {{dancing}}, spotlight, {{blush}}, {{{blur}}}
キャラクター	アイドルマスターシンデレラガールズ	赤城みりあ	{{{{akagi miria}}}}, [[[[idolmaster cinderella girls]]]], loli, child, brown eyes, mini two side up, black hair, flat chest
キャラクター	アイドルマスターシンデレラガールズ	千川ちひろ	{{{{senkawa chihiro}}}}, [[[[idolmaster cinderella girls]]]], red hair scrunchie, hair over shoulder, brown hair, vivid green jacket, single braid lock, orange eyes, black pencil skirt, {{{{tareme}}}}, swept bangs, short hair, buisiness suit, medium breasts
